id,question,answer
47,How do I get a replacement for a damaged card?,Contact our customer service to request a replacement for your damaged card.
48,How do I transfer my account to another branch?,You can transfer your account to another branch by contacting our customer service team or visiting your preferred branch.
49,What is the difference between a fixed-rate and adjustable-rate mortgage?,"A fixed-rate mortgage has the same interest rate throughout the term, while an adjustable-rate mortgage may change based on market conditions."
50,How can I check my account balance?,"You can check your account balance through online banking, our mobile app, or by visiting a branch or ATM."
51,Can I schedule automatic transfers between my accounts?,"Yes, you can schedule automatic transfers through online banking by setting up recurring transfers."
52,How do I request a credit card balance transfer?,You can request a balance transfer online or by calling our customer service at 1-800-123-4567.
53,What is a home equity line of credit (HELOC)?,"A HELOC is a line of credit secured by your home that you can borrow from as needed, typically with a variable interest rate."
54,How do I update my beneficiaries on my accounts?,You can update beneficiaries by contacting our customer service or visiting a branch.
55,How do I add a secondary user to my credit card?,You can add an authorized user by logging into your account online or calling our credit card support team.
56,What is a grace period on a credit card?,A grace period is the time during which you can pay your balance in full without being charged interest.
57,How do I cancel a pending payment?,You can cancel pending payments through online banking or by calling customer service if the payment hasn't been processed yet.
58,Can I set spending limits on my debit card?,"Yes, you can set spending limits on your debit card by visiting the 'Card Settings' section in your online banking."
59,How can I improve my credit score?,"To improve your credit score, make timely payments, reduce outstanding debt, and keep your credit utilization below 30%."
60,What is the difference between a secured and unsecured loan?,"A secured loan is backed by collateral, like a car or house, while an unsecured loan is not and may have higher interest rates."
61,How do I pay off my loan early?,You can make extra payments or pay off the remaining balance early by contacting our loan services department.
62,Can I skip a loan payment?,Some loans offer a skip-a-payment option; please contact our loan services to see if your loan qualifies.
63,How do I set alerts for transactions?,You can set up transaction alerts through your online banking account under 'Notifications' or 'Account Alerts.'
64,What is the penalty for early withdrawal from a CD?,"Early withdrawal from a CD typically incurs a penalty of several months' interest, depending on the terms of the CD."
65,How do I stop paper statements?,You can switch to electronic statements by logging into your online banking account and opting for paperless statements.
66,How do I qualify for a business loan?,"Business loan qualifications vary, but generally, you'll need a strong credit score, business plan, and financial documentation."
67,What happens if I overdraw my account?,"If your account is overdrawn, you may be charged an overdraft fee unless you have overdraft protection linked to another account."
68,How do I transfer funds from my savings to my checking account?,"You can transfer funds through online banking, mobile banking, or by visiting a branch or ATM."
69,What is a cashier's check?,"A cashier's check is a check guaranteed by the bank and signed by a cashier, commonly used for large transactions."
70,How do I dispute a fee?,You can dispute a fee by contacting customer service and explaining why you believe the fee was charged in error.
71,What types of mortgages do you offer?,"We offer fixed-rate, adjustable-rate, FHA, VA, and jumbo mortgages to fit various borrower needs."
72,Can I open a trust account?,"Yes, you can open a trust account by speaking with one of our trust account specialists at your nearest branch."
73,What is the annual fee for your credit card?,"Our basic credit card has no annual fee, but certain premium cards may have annual fees that vary by card type."
74,How do I set up bill pay?,You can set up bill pay through online banking by entering the biller information and scheduling payments.
75,How do I find my routing number?,Your routing number can be found on the bottom of your checks or in your online banking account under 'Account Information.'
76,How long does it take to process a mortgage application?,Mortgage processing times vary but typically take 30 to 45 days from application to closing.
77,How do I order a debit card?,"You can order a new debit card through online banking, at a branch, or by contacting customer service."
78,What is a money market account?,A money market account is a type of savings account that offers higher interest rates in exchange for higher minimum balance requirements.
79,How do I report fraud on my account?,"If you suspect fraud, contact our fraud department immediately at 1-800-987-6543."
80,Can I transfer my credit card balance to another account?,"Yes, you can transfer your balance by calling our credit card support team or requesting it through online banking."
81,How do I request a loan deferral?,You can request a loan deferral by contacting our loan services department. Approval is subject to eligibility and terms.
82,What is a financial advisor?,"A financial advisor is a professional who provides guidance on managing your finances, including investments, retirement, and tax planning."
83,How do I cancel my credit card?,"To cancel your credit card, contact our credit card support team or visit a branch."
84,What is a personal line of credit?,"A personal line of credit is a revolving credit line that allows you to borrow funds as needed, up to a certain limit."
85,How do I change my PIN?,You can change your debit or credit card PIN through our mobile app or by calling customer service.
86,How do I check the status of a wire transfer?,You can check the status of a wire transfer by logging into your account or contacting our wire transfer department.
87,Can I increase my ATM withdrawal limit?,"Yes, you can request an increase in your ATM withdrawal limit by contacting customer service."
88,What is a fixed-rate mortgage?,"A fixed-rate mortgage has a consistent interest rate throughout the loan term, meaning your monthly payments stay the same."
89,How do I refinance my student loans?,You can refinance your student loans through our website by filling out a refinance application.
90,How do I open a custodial account for my child?,You can open a custodial account by visiting your local branch or contacting our customer service for guidance.
91,Can I use mobile banking to deposit checks?,"Yes, you can deposit checks using our mobile app by following the instructions under the 'Deposit Checks' section."
92,What is a 401(k) plan?,A 401(k) is an employer-sponsored retirement savings plan that allows employees to contribute a portion of their salary on a pre-tax basis.
93,How do I report a lost check?,"To report a lost check, contact customer service or visit your branch to request a stop payment."
94,What is a credit card cash advance?,"A cash advance allows you to withdraw cash from your credit card account, usually with higher fees and interest rates than purchases."
95,What is an IRA?,An Individual Retirement Account (IRA) is a savings plan that provides tax advantages for retirement savings.
96,How do I update my address?,You can update your address through online banking or by visiting a branch with proof of address.
97,How do I report unauthorized credit card transactions?,Report unauthorized transactions by calling our credit card support team immediately at 1-800-123-4567.
98,Can I make loan payments online?,"Yes, you can make loan payments through our online banking platform or mobile app."
99,How do I stop automatic payments from my account?,You can cancel automatic payments through online banking under the 'Payments' section or by contacting customer service.
100,How can I get a copy of my monthly statement?,You can access your monthly statements through online banking or request paper statements from customer service.
101,What is a savings bond?,A savings bond is a government-issued bond that earns interest over a fixed period of time.
102,How do I set up a new password for my account?,You can set up a new password through online banking by selecting 'Change Password' under 'Account Settings.'
103,How do I apply for a secured credit card?,You can apply for a secured credit card through our website or by visiting a branch.
104,What is a personal loan?,"A personal loan is a fixed-term loan that can be used for various personal expenses, like home improvements or medical bills."
105,How do I open a new checking account?,You can open a new checking account online or by visiting one of our branch locations.
106,How do I receive a wire transfer?,"Provide the sender with your account number and routing number, which can be found in your online banking account."
107,What is mobile banking?,Mobile banking allows you to manage your accounts and conduct transactions from your smartphone using our mobile app.
108,How do I request a loan payoff statement?,You can request a loan payoff statement by contacting our loan services department.
109,Can I make international transfers?,"Yes, you can make international transfers through online banking or by visiting a branch."
110,What is the difference between a 401(k) and an IRA?,"A 401(k) is employer-sponsored, while an IRA is opened individually. Both offer tax advantages for retirement savings."
111,How do I protect my account from fraud?,"You can protect your account by using strong passwords, enabling two-factor authentication, and monitoring your accounts for suspicious activity."
112,What is a checking account?,"A checking account allows you to deposit and withdraw money, make payments, and write checks, typically with no interest."
113,How do I request a stop payment on a check?,You can request a stop payment through online banking or by contacting customer service before the check is cashed.
114,How do I change the account I use for automatic payments?,You can change your account for automatic payments by updating your payment settings in online banking.
115,How do I open a business account?,You can open a business account by visiting a branch or applying online with your business documents.
116,What is a CD ladder?,A CD ladder is a strategy where you open multiple CDs with different maturity dates to balance liquidity and higher interest rates.
117,How do I link external accounts?,You can link external accounts through online banking by selecting the 'Link Accounts' option under 'Transfers.'
118,Can I get pre-approved for a mortgage?,"Yes, you can get pre-approved by completing a pre-approval application on our website or with a mortgage specialist."
119,What is the difference between APR and APY?,"APR (Annual Percentage Rate) refers to interest on loans, while APY (Annual Percentage Yield) refers to interest earned on deposits."
120,What is the maximum amount I can transfer online?,The maximum amount varies depending on the type of transfer and your account. Contact customer service for specific limits.
121,How can I avoid overdraft fees?,"You can avoid overdraft fees by maintaining a sufficient balance, enrolling in overdraft protection, or setting up low-balance alerts."
122,What is a joint account?,"A joint account is shared by two or more individuals, allowing each person access to the funds and transactions."
123,How do I check my credit card balance?,"You can check your credit card balance through online banking, our mobile app, or by calling customer service."
124,What is a mortgage?,"A mortgage is a loan used to purchase real estate, where the property itself serves as collateral for the loan."
125,How do I sign up for direct deposit?,"Provide your employer with your account number and our bank's routing number, which can be found in your online banking account."
126,How do I reset my online banking password?,Click 'Forgot Password' on the login page and follow the instructions to reset your password.
127,What is overdraft protection?,Overdraft protection links your checking account to another account or credit line to cover insufficient funds.
128,How do I get a personal loan?,"You can apply for a personal loan through our website, mobile app, or by visiting a branch."
129,What are wire transfer fees?,Wire transfer fees vary by type of transfer (domestic or international) and can range from $15 to $50.
130,Can I open a savings account online?,"Yes, you can open a savings account through our website or mobile app by filling out the necessary information."
131,What is a mortgage refinance?,"Refinancing a mortgage means replacing your current loan with a new one, typically to get a better interest rate."
132,How do I set up autopay for my credit card?,You can set up autopay through online banking by selecting 'Autopay' under 'Payments.'
133,What is the minimum credit score for a mortgage?,The minimum credit score varies but generally starts at 620 for conventional loans and lower for government-backed loans like FHA.
134,How do I apply for a car loan?,You can apply for a car loan through our website or by visiting a branch for assistance.
135,What is a credit limit?,A credit limit is the maximum amount you can borrow on a credit card or line of credit.
136,How do I download my transaction history?,You can download your transaction history as a PDF or CSV file through online banking.
137,What is the difference between a checking and savings account?,"A checking account is designed for frequent transactions, while a savings account is intended for saving money with interest."
138,How do I report a lost debit card?,Report a lost card through online banking or by calling customer service immediately to prevent unauthorized use.
139,What is a balance transfer?,"A balance transfer allows you to move debt from one credit card to another, usually to take advantage of lower interest rates."
140,How do I view my loan balance?,You can view your loan balance through online banking or by calling our loan services department.
141,Can I get a mortgage with bad credit?,"It may be possible to get a mortgage with bad credit, but you'll likely need a higher down payment and will face higher interest rates."
142,How do I enable text alerts for my account?,You can enable text alerts through online banking by updating your notification settings under 'Account Alerts.'
143,How can I transfer funds to another bank?,You can transfer funds to another bank using our online banking's external transfer feature or by initiating a wire transfer.
144,How do I pay my mortgage online?,You can pay your mortgage through online banking by selecting 'Pay Mortgage' under the 'Payments' section.
145,What are the benefits of a high-yield savings account?,"A high-yield savings account offers higher interest rates than traditional savings accounts, helping your money grow faster."
146,How do I enroll in mobile banking?,Download our mobile app from the App Store or Google Play and follow the instructions to enroll in mobile banking.
147,What are the loan terms for personal loans?,"Personal loan terms typically range from 12 to 60 months, depending on the amount and creditworthiness."
148,What are the benefits of using a credit card?,"Credit cards offer rewards, fraud protection, and the ability to build credit when used responsibly."
149,How do I change the due date on my loan?,You can request a due date change by contacting our loan services department. Approval is subject to eligibility.
150,What are your current CD rates?,Current CD rates vary by term and account balance. Check our website or visit a branch for the latest rates.
151,How do I withdraw from my IRA?,You can withdraw from your IRA by contacting customer service or visiting a branch. Early withdrawals may incur penalties.
152,What is a certified check?,"A certified check is a personal check guaranteed by the bank, ensuring the funds are available for the payment."
153,How do I request an increase in my credit card limit?,You can request a credit limit increase through online banking or by calling our credit card support team.
154,What is the maximum loan term for a mortgage?,"The maximum loan term for a mortgage is typically 30 years, but shorter terms like 15 or 20 years are also available."
155,How do I apply for a business credit card?,You can apply for a business credit card through our website or by visiting a branch with your business documents.
156,What are the fees for international ATM withdrawals?,International ATM withdrawal fees vary but typically include a percentage of the amount withdrawn plus a fixed fee.
157,What is a loan origination fee?,"A loan origination fee is a charge by the lender for processing a new loan, usually a percentage of the loan amount."
158,How do I view my account statements?,You can view and download your account statements through online banking under the 'Statements' section.
159,What is a jumbo mortgage?,A jumbo mortgage is a home loan that exceeds the conforming loan limits set by the Federal Housing Finance Agency.
160,How do I transfer my 401(k) to an IRA?,You can transfer your 401(k) to an IRA by contacting both your employer's plan administrator and your IRA provider.
161,What are the tax advantages of a Roth IRA?,"A Roth IRA allows you to make after-tax contributions and withdraw funds tax-free in retirement, subject to eligibility."
162,What is a minimum required distribution (MRD)?,An MRD is the minimum amount you must withdraw annually from your retirement account once you reach age 72.
163,How do I link my accounts for easy transfers?,You can link your accounts through online banking by selecting 'Link Accounts' under 'Transfers.'
164,How do I report identity theft?,Report identity theft immediately by contacting our fraud department and filing a report with the Federal Trade Commission (FTC).
165,What is a reverse mortgage?,A reverse mortgage allows homeowners age 62 and older to convert home equity into cash without selling their home.
166,Can I make additional payments on my loan?,"Yes, you can make additional payments on your loan through online banking or by contacting our loan services department."
167,How do I dispute a transaction on my debit card?,"To dispute a transaction, contact our debit card support team and provide details of the transaction in question."
168,How do I find an ATM near me?,You can find an ATM near you by using our mobile app or visiting our website's ATM locator.
169,What is the difference between pre-approval and pre-qualification for a mortgage?,"Pre-qualification is an estimate based on self-reported information, while pre-approval involves a more detailed review of your financial situation."
170,How do I sign up for overdraft protection?,You can enroll in overdraft protection through online banking or by contacting customer service.
171,What happens if I miss a loan payment?,"Missing a loan payment may result in late fees, increased interest, and negative effects on your credit score."
172,How do I request a tax statement for my mortgage?,You can request a tax statement through online banking or by contacting our mortgage services department.
173,Can I pay my credit card with another credit card?,"No, you cannot directly pay a credit card balance with another credit card. Consider a balance transfer instead."
174,How do I apply for a home equity loan?,You can apply for a home equity loan through our website or by visiting one of our branches.
175,What is an escrow account?,"An escrow account holds funds for property taxes and insurance, which are paid by the lender on behalf of the borrower."
176,How do I order foreign currency?,You can order foreign currency through online banking or by visiting a branch that offers currency exchange services.
177,Can I pay off my mortgage early?,"Yes, you can pay off your mortgage early without penalty in most cases, but check your loan agreement for details."
178,What is a loan-to-value (LTV) ratio?,LTV ratio is the percentage of the property's value that is financed by the loan. A lower LTV ratio indicates less risk for the lender.
179,How do I cancel a recurring transfer?,You can cancel recurring transfers through online banking by navigating to the 'Transfers' section.
180,What is a home equity loan?,"A home equity loan is a loan where you borrow against the equity in your home, typically with a fixed interest rate."
181,How do I order a replacement credit card?,You can order a replacement credit card through online banking or by contacting customer service.
182,What are the requirements for a business loan?,"Business loan requirements vary but typically include a solid business plan, financial statements, and a good credit score."
183,How do I lock my debit card?,You can lock your debit card instantly through our mobile app to prevent unauthorized transactions.
184,How do I enroll in two-factor authentication?,You can enable two-factor authentication through online banking under the 'Security Settings' section.
185,What are the benefits of a Roth IRA?,"A Roth IRA allows tax-free withdrawals in retirement, provided certain conditions are met, as contributions are made with after-tax dollars."
186,What is a foreclosure?,A foreclosure is the legal process in which a lender takes possession of a property due to the borrower's failure to make mortgage payments.
187,How do I track my loan payments?,You can track your loan payments and balances through online banking under the 'Loan Overview' section.
188,What is a secured credit card?,"A secured credit card requires a cash deposit as collateral, which acts as your credit limit, helping you build or repair credit."
189,How do I apply for an auto loan?,"You can apply for an auto loan online, through our mobile app, or by visiting a branch."
190,What is the minimum balance for a money market account?,The minimum balance for a money market account varies but is typically higher than for standard savings accounts.
191,How do I stop a wire transfer?,"To stop a wire transfer, contact our wire transfer department immediately before the funds are processed."
192,What is the difference between a loan and a line of credit?,"A loan provides a lump sum that is repaid over time, while a line of credit allows you to borrow as needed up to a set limit."
193,How do I order a copy of a canceled check?,You can order a copy of a canceled check through online banking or by contacting customer service.
194,Can I get a mortgage for an investment property?,"Yes, you can apply for a mortgage for an investment property, but the terms and interest rates may differ from a primary residence mortgage."
195,What is the interest rate on a savings account?,Interest rates on savings accounts vary depending on the account type and balance. Check our website for current rates.
196,How do I open a Roth IRA?,"You can open a Roth IRA through our website, mobile app, or by visiting a branch for personalized assistance."
197,What is a no-closing-cost mortgage?,"A no-closing-cost mortgage allows you to roll the closing costs into the loan amount, typically resulting in a higher interest rate."
198,How do I qualify for a personal loan?,"Personal loan qualifications vary but generally require a good credit score, steady income, and a manageable debt-to-income ratio."
199,How do I freeze my credit?,"You can freeze your credit by contacting the three major credit bureaus: Equifax, Experian, and TransUnion."
200,What are the fees for early withdrawal from a retirement account?,Early withdrawals from retirement accounts before age 59½ may incur a 10% penalty and income taxes.
201,What is the minimum deposit for a CD?,"The minimum deposit for a CD varies by term and interest rate, but typically starts at $500."
202,How do I apply for a small business loan?,"You can apply for a small business loan through our website, by visiting a branch, or by contacting our business loan specialists."
203,How do I set up automatic payments for my mortgage?,You can set up automatic mortgage payments through online banking under the 'Payments' section.
204,What is a promissory note?,"A promissory note is a legal document in which the borrower agrees to repay a loan under specific terms, including interest rates and payment schedule."
205,How do I close my credit card?,You can close your credit card by contacting our credit card support team or by visiting a branch.
206,Can I open a CD online?,"Yes, you can open a CD through our website or mobile app by selecting the desired term and deposit amount."
207,What are the benefits of refinancing a mortgage?,"Refinancing a mortgage can help lower your interest rate, reduce monthly payments, or shorten the loan term."
208,How do I view my FICO score?,You can view your FICO score through our mobile app or online banking if your credit card or loan offers free credit score monitoring.
209,What is private mortgage insurance (PMI)?,"PMI is insurance required for borrowers who put down less than 20% on a home, protecting the lender in case of default."
210,How do I transfer money to a foreign bank?,"You can transfer money to a foreign bank through a wire transfer, which can be initiated through online banking or by visiting a branch."
211,What are the penalties for withdrawing from a 401(k) early?,Early withdrawals from a 401(k) before age 59½ may incur a 10% penalty and be subject to income tax.
212,How do I set up a travel notice on my account?,You can set up a travel notice through online banking or our mobile app to ensure uninterrupted access to your debit or credit cards.
213,How do I apply for a mortgage pre-approval?,You can apply for a mortgage pre-approval online or by contacting our mortgage specialists to review your financial situation.
214,How do I access funds from my home equity line of credit?,"You can access funds from your HELOC through online banking, by writing checks, or using a HELOC card if provided."
215,What are the differences between a 30-year and 15-year mortgage?,"A 30-year mortgage has lower monthly payments but higher interest over the life of the loan, while a 15-year mortgage has higher payments but lower interest."
216,How do I report suspicious activity on my account?,You can report suspicious activity through online banking or by contacting our fraud department at 1-800-987-6543.
217,What is a debt-to-income ratio?,"The debt-to-income ratio is the percentage of your monthly income that goes toward debt payments, used to assess your ability to manage monthly payments."
218,How do I set up direct deposit for my tax refund?,You can set up direct deposit for your tax refund by providing your account number and our bank's routing number on your tax return.
219,How do I avoid ATM fees?,You can avoid ATM fees by using our bank's ATMs or choosing a checking account that reimburses out-of-network ATM fees.
220,What is an FHA loan?,"An FHA loan is a government-backed mortgage insured by the Federal Housing Administration, typically designed for first-time homebuyers with lower credit scores."
221,What is the maximum credit limit I can get on a credit card?,"The maximum credit limit varies by individual qualifications such as credit score, income, and debt levels."
222,How do I activate mobile check deposit?,You can activate mobile check deposit through our mobile app by selecting 'Deposit Checks' and following the instructions.
223,What is a fixed-rate loan?,"A fixed-rate loan has an interest rate that remains constant throughout the loan term, ensuring stable monthly payments."
224,Can I refinance my auto loan?,"Yes, you can refinance your auto loan through our website or by contacting our auto loan services department."
225,What are the closing costs on a mortgage?,"Closing costs typically range from 2% to 5% of the loan amount and include fees for the appraisal, title search, and other services."
226,How do I manage my accounts online?,"You can manage your accounts through online banking, which allows you to view balances, transfer funds, pay bills, and more."
227,What is a variable-rate loan?,"A variable-rate loan has an interest rate that can fluctuate over time, usually tied to an index such as the prime rate."
228,Can I open a joint savings account?,"Yes, you can open a joint savings account by visiting a branch or applying online with the co-account holder."
229,What is a cash-out refinance?,"A cash-out refinance allows you to replace your current mortgage with a new one for a larger amount, giving you access to the difference in cash."
230,How do I update my mobile number?,You can update your mobile number through online banking or by visiting a branch with proper identification.
231,What is the difference between a HELOC and a home equity loan?,"A HELOC is a revolving line of credit, while a home equity loan provides a lump sum with fixed repayment terms."
232,How do I apply for a construction loan?,You can apply for a construction loan through our mortgage services department or by visiting one of our branches.
233,What is a balloon mortgage?,A balloon mortgage is a short-term loan with low monthly payments and a large lump-sum payment at the end of the term.
234,What are the tax benefits of a mortgage?,"Mortgage interest and property taxes may be deductible on your federal income tax return, subject to eligibility."
235,How do I protect my credit score?,"To protect your credit score, make payments on time, keep credit utilization low, and monitor your credit report regularly."
236,Can I skip a credit card payment?,"Some credit cards offer skip-payment options, but you must contact customer service to check if you're eligible."
237,What is an adjustable-rate mortgage (ARM)?,"An ARM has an interest rate that changes periodically, usually based on a market index, resulting in fluctuating payments."
238,How do I open an investment account?,"You can open an investment account online, through our mobile app, or by contacting one of our financial advisors."
239,How do I apply for a student loan?,"You can apply for a student loan through our website, mobile app, or by visiting a branch."
240,How do I change the beneficiary on my account?,You can change the beneficiary by contacting customer service or visiting a branch with the required documents.
241,What is a mortgage escrow account?,"A mortgage escrow account holds funds for property taxes and insurance, which are paid by the lender on your behalf."
242,Can I cancel a wire transfer?,Wire transfers can only be canceled if they haven't been processed yet. Contact our wire transfer department immediately.
243,What is a chargeback?,A chargeback is a return of funds to a consumer after a dispute is raised against a transaction on a credit or debit card.
244,How do I request a mortgage payoff letter?,You can request a mortgage payoff letter through online banking or by contacting our mortgage services department.
245,What is a loan modification?,"A loan modification alters the original terms of a loan, such as the interest rate or payment schedule, to make it more affordable."
246,How do I increase my credit card limit?,You can request a credit limit increase through online banking or by contacting our credit card support team.
247,What is a business line of credit?,"A business line of credit allows businesses to borrow funds up to a certain limit as needed, with interest charged only on the amount used."
248,What are the fees for a HELOC?,"HELOC fees may include an application fee, annual fee, and closing costs. Contact our loan department for specific details."
249,How do I change my security questions?,You can change your security questions through online banking under the 'Security Settings' section.
250,How do I request a balance transfer?,You can request a balance transfer through online banking or by contacting our credit card support team.
251,Can I refinance a personal loan?,"Yes, you can refinance a personal loan by applying for a new loan with better terms and using it to pay off the old loan."
252,What is the difference between a bank and a credit union?,"A bank is a for-profit institution, while a credit union is a not-for-profit organization owned by its members."
253,What is a personal loan APR?,"APR, or Annual Percentage Rate, represents the total cost of borrowing a personal loan, including interest and fees."
254,How do I set up a joint credit card?,You can apply for a joint credit card by visiting a branch or applying online with a co-applicant.
255,How do I make an extra payment on my loan?,You can make extra payments on your loan through online banking or by contacting our loan services department.
256,How do I download the mobile app?,You can download our mobile app from the App Store (iOS) or Google Play (Android) by searching for our bank's name.
257,Can I change my credit card due date?,"Yes, you can request to change your credit card due date by contacting our credit card support team."
258,How do I report a lost or stolen checkbook?,Report a lost or stolen checkbook by contacting customer service or visiting a branch to request a stop payment.
259,What are the requirements for a mortgage loan?,"Mortgage requirements include a good credit score, stable income, down payment, and a low debt-to-income ratio."
260,How do I qualify for a HELOC?,"To qualify for a HELOC, you typically need at least 15% to 20% equity in your home, a good credit score, and steady income."
261,What is a down payment?,"A down payment is an upfront payment made when purchasing a home, usually ranging from 3% to 20% of the home's purchase price."
262,How do I get a mortgage pre-qualification?,"You can get pre-qualified for a mortgage by providing basic financial information to a lender, either online or in person."
263,How do I set up alerts for my credit card?,You can set up alerts for your credit card through online banking or our mobile app under the 'Notifications' section.
264,What is an early payoff penalty?,An early payoff penalty is a fee charged by lenders if you pay off a loan before the agreed term ends.
265,How do I set up automatic loan payments?,You can set up automatic loan payments through online banking under the 'Payments' section.
266,What is a loan amortization schedule?,A loan amortization schedule is a table that shows each loan payment's allocation between principal and interest over the loan term.
267,What is a short sale?,"A short sale is when a homeowner sells their property for less than the amount owed on the mortgage, with the lender's approval."
268,How do I dispute an ATM transaction?,You can dispute an ATM transaction by contacting our customer service and providing details of the transaction in question.
269,What is a balloon payment?,"A balloon payment is a large, lump-sum payment due at the end of a loan term, typically used for short-term loans."
270,How do I increase my home equity?,You can increase home equity by paying down your mortgage and making home improvements that raise property value.
271,What is a closing disclosure?,"A closing disclosure is a document that outlines the final terms, costs, and conditions of a mortgage loan, provided before closing."
272,How do I refinance a home equity loan?,You can refinance a home equity loan by applying for a new loan with better terms and using it to pay off the old loan.
273,What is mortgage forbearance?,Mortgage forbearance is a temporary pause or reduction in mortgage payments granted by the lender during financial hardship.
274,How do I freeze my debit card?,You can freeze your debit card through our mobile app under the 'Card Settings' section.
275,What is a cash-out refinance?,"A cash-out refinance replaces your existing mortgage with a new one for a higher amount, allowing you to take out the difference in cash."
276,How do I change my account beneficiaries?,You can change account beneficiaries by visiting a branch or contacting customer service with the necessary documents.
277,What is a debt consolidation loan?,"A debt consolidation loan allows you to combine multiple debts into one loan, often with a lower interest rate."
278,Can I open a savings account for my child?,"Yes, you can open a custodial savings account for your child by visiting a branch or applying online."
